0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:44 +0900] "GET /project2.1/center/home_notice?page=1 HTTP/1.1" 200 32089
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:44 +0900] "GET /project2.1/resources/js/center.js HTTP/1.1" 200 10554
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:44 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835364546 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:44 +0900] "GET /project2.1/chat/232/kjgetwh5/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:53 +0900] "GET /project2.1/center/home_notice?page=9 HTTP/1.1" 200 32000
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:53 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835373475 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:53 +0900] "GET /project2.1/chat/477/pkojuap5/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:55 +0900] "GET /project2.1/center/home_notice?page=10 HTTP/1.1" 200 32189
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:55 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835375994 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:56 +0900] "GET /project2.1/chat/550/m4izl3p0/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:59 +0900] "GET /project2.1/center/home_notice?page=19 HTTP/1.1" 200 31813
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:59 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835379511 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:59 +0900] "GET /project2.1/chat/498/gnbdhf2r/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:05 +0900] "GET /project2.1/center/home_notice?page=18 HTTP/1.1" 200 32191
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:05 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835385829 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:05 +0900] "GET /project2.1/chat/552/15i5uyqq/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:09 +0900] "GET /project2.1/center/home_notice?page=19 HTTP/1.1" 200 31813
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:09 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835389989 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:10 +0900] "GET /project2.1/chat/018/rgcgshui/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:12 +0900] "GET /project2.1/center/home_notice?page=18 HTTP/1.1" 200 32191
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:12 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835392693 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:12 +0900] "GET /project2.1/chat/225/3dpck4ak/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:15 +0900] "GET /project2.1/center/home_notice?page=10 HTTP/1.1" 200 32189
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:15 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835395572 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:15 +0900] "GET /project2.1/chat/524/5ochntai/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:17 +0900] "GET /project2.1/center/home_notice?page=19 HTTP/1.1" 200 31813
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:18 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835398000 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:18 +0900] "GET /project2.1/chat/230/55ecvbur/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:24 +0900] "GET /project2.1/center/home_notice?page=18 HTTP/1.1" 200 32191
